Date,Fort McHenry Channel,Jones Falls Outlet,Patapsco Outlet,Ferry Bar Park,Middle Branch A,Northwest Branch A,Canton Park
5/1/2013,100,600,100,100,100,200,100
5/15/2013,10,600,30,10,20,10,70
5/29/2013,20,770,170,160,130,340,250
6/19/2013,10,650,240,170,120,260,120
7/3/2013,10,1720,2380,40,150,160,20
7/17/2013,310,230,70,360,150,120,280
7/31/2013,10,240,40,30,60,50,910
8/21/2013,2190,380,2400,1790,550,500,310
8/28/2013,10,500,10,20,,200,10
9/11/2013,10,250,10,10,10,40,10
9/25/2013,40,310,10,20,10,60,30
10/9/2013,10,630,170,220,280,70,40
10/23/2013,40,120,20,10,70,60,10
11/6/2013,10,470,20,10,10,200,10
11/20/2013,10,280,50,10,60,40,10
4/2/2014,90,420,80,130,40,130,50
4/22/2014,40,50,10,10,40,30,10
5/1/2014,5480,12000,,,,6130,
5/14/2014,10,440,140,10,10,20,10
6/12/2014,,570,160,110,620,2610,390
6/25/2014,10,320,30,80,50,20,20
7/16/2014,190,2380,420,70,80,450,110
7/30/2014,10,140,10,10,20,30,30
8/13/2014,7700,25800,6130,15530,15530,14140,3650
8/27/2014,10,130,10,10,10,30,30
9/10/2014,10,270,40,20,10,10,10
9/24/2014,10,160,30,10,30,10,
10/29/2014,20,10,10,10,40,120,10
11/12/2014,10,220,10,40,10,220,4350